iter	RMSE
301	0.2970275355
302	0.2956641354
303	0.2951745574
304	0.2944804481
305	0.2940139343
306	0.2932664363
307	0.2926587491
308	0.2919907891
309	0.291030206
310	0.2896886401
311	0.2888577756
312	0.2881543895
313	0.2874504202
314	0.2868886746
315	0.2864073395
316	0.2855499326
317	0.2845909559
318	0.2842531731
319	0.2838289033
320	0.2826853182
321	0.2822042432
322	0.2820189883
323	0.2811552453
324	0.2805536412
325	0.2794238071
326	0.2787314002
327	0.2777198464
328	0.2770901082
329	0.2762346706
330	0.2758017966
331	0.2751960839
332	0.2750028335
333	0.2740155398
334	0.2733026814
335	0.2728821471
336	0.2720116195
337	0.2708853659
338	0.2701255512
339	0.2699554046
340	0.2687749266
341	0.2678869756
342	0.2673123169
343	0.2660988626
344	0.2658047122
345	0.2650190978
346	0.2644761633
347	0.2637256743
348	0.2627999956
349	0.2623171216
350	0.2620436104
351	0.261822759
352	0.2614149672
353	0.2608479306
354	0.2595696417
355	0.2592262682
356	0.2587850192
357	0.258207969
358	0.25790134
359	0.2575204554
360	0.2563362905
361	0.2554652372
362	0.254499034
363	0.254206417
364	0.2538071477
365	0.2532653757
366	0.2528917191
367	0.2522618486
368	0.2513964491
369	0.2504435014
370	0.2499461987
371	0.2494403575
372	0.2490887373
373	0.2483764773
374	0.2480877329
375	0.24785055
376	0.2470030742
377	0.2460753628
378	0.2456293121
379	0.2453137399
380	0.2450918897
381	0.2445822819
382	0.2440472427
383	0.2432925001
384	0.2430129913
385	0.2421647165
386	0.2418668048
387	0.2412725097
388	0.2407768412
389	0.2404150002
390	0.2394750695
391	0.2389694655
392	0.238046188
393	0.2378878906
394	0.2377175479
395	0.2375027533
396	0.2371064032
397	0.2363829259
398	0.2361477471
399	0.2360100744
400	0.2356532253
401	0.2355325582
402	0.2350403297
403	0.2341641913
404	0.2334682891
405	0.2332090797
406	0.2321322469
407	0.2317568728
408	0.2314353875
409	0.2312284744
410	0.230446643
411	0.2299031825
412	0.2292114545
413	0.2290948472
414	0.2285952003
415	0.2282869734
416	0.2276763751
417	0.2275986492
418	0.2271325507
419	0.2263813653
420	0.2258293107
421	0.2248884028
422	0.2246750977
423	0.2240311387
424	0.2230884301
425	0.2228698076
426	0.2222760797
427	0.2215482552
428	0.2212922268
429	0.2211165987
430	0.2209509178
431	0.2201788637
432	0.2192498493
433	0.2190512716
434	0.2188385686
435	0.2183898537
436	0.218205786
437	0.2180479365
438	0.2174800059
439	0.2169354285
440	0.2162813
441	0.2155655404
442	0.2150830775
443	0.2145436968
444	0.2140986431
445	0.2138083153
446	0.2135304043
447	0.2133920915
448	0.2129970925
449	0.2124141378
450	0.2118198438
451	0.2113126751
452	0.2105107602
453	0.2098322814
454	0.2092242342
455	0.2085199777
456	0.2081631336
457	0.207395336
458	0.206790722
459	0.2064365984
460	0.2059360811
461	0.2056806076
462	0.2050895395
463	0.2046025606
464	0.2041004644
465	0.2037189715
466	0.2032515866
467	0.2028167788
468	0.2022132157
469	0.2019812652
470	0.2014252565
471	0.2009286901
472	0.200041849
473	0.2000090067
474	0.1995748131
475	0.1992119575
476	0.1984615847
477	0.1979646412
478	0.1974972132
479	0.1969089788
480	0.1962607871
481	0.1960050949
482	0.1956169619
483	0.1951117165
484	0.1948120127
485	0.1947247029
486	0.194523408
487	0.1942826968
488	0.1941027509
489	0.1937315489
490	0.1931433415
491	0.1925259488
492	0.1919670709
493	0.1916309038
494	0.191273007
495	0.1908355712
496	0.1905716406
497	0.1899160382
498	0.1892098611
499	0.1889159048
